--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 7042764 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 8)
X_test shape: (100000, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 50.06 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(309.59752321981426), tensor(1, requires_grad=False): np.float64(0.5008088062220486)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:   770 | Batch Cost: 1.5403220 | Batch Acc: 0.0000000
Iter:   780 | Batch Cost: 1.1445453 | Batch Acc: 0.0000000
Iter:   790 | Batch Cost: 1.5547529 | Batch Acc: 0.0000000
Iter:   800 | Batch Cost: 0.7543194 | Batch Acc: 1.0000000
Iter:   810 | Batch Cost: 0.4017264 | Batch Acc: 1.0000000
Iter:   820 | Batch Cost: 1.9787275 | Batch Acc: 0.0100000
Iter:   830 | Batch Cost: 1.7023336 | Batch Acc: 0.0000000
Iter:   840 | Batch Cost: 0.6036737 | Batch Acc: 1.0000000
Iter:   850 | Batch Cost: 0.6590417 | Batch Acc: 1.0000000
Iter:   860 | Batch Cost: 1.4524423 | Batch Acc: 0.0000000
Iter:   870 | Batch Cost: 0.9233014 | Batch Acc: 1.0000000
Iter:   880 | Batch Cost: 1.4163422 | Batch Acc: 0.0000000
Iter:   890 | Batch Cost: 1.4033375 | Batch Acc: 0.0000000
Iter:   900 | Batch Cost: 1.0072150 | Batch Acc: 0.0000000
Iter:   910 | Batch Cost: 1.1007631 | Batch Acc: 0.0100000
Iter:   920 | Batch Cost: 1.1780111 | Batch Acc: 0.0000000
Iter:   930 | Batch Cost: 1.5814911 | Batch Acc: 0.0000000
Iter:   940 | Batch Cost: 1.0687016 | Batch Acc: 0.0000000
Iter:   950 | Batch Cost: 0.5884714 | Batch Acc: 1.0000000
Iter:   960 | Batch Cost: 0.2899560 | Batch Acc: 1.0000000
Iter:   970 | Batch Cost: 0.4787594 | Batch Acc: 1.0000000
Iter:   980 | Batch Cost: 0.7656944 | Batch Acc: 1.0000000
Iter:   990 | Batch Cost: 0.8999295 | Batch Acc: 1.0000000
Iter:  1000 | Batch Cost: 1.2818145 | Batch Acc: 0.0000000
Iter:  1010 | Batch Cost: 1.6293254 | Batch Acc: 0.0000000
Iter:  1020 | Batch Cost: 1.7779818 | Batch Acc: 0.0000000
Iter:  1030 | Batch Cost: 1.5249499 | Batch Acc: 0.0000000
Iter:  1040 | Batch Cost: 1.3045639 | Batch Acc: 0.0100000
Iter:  1050 | Batch Cost: 0.8787573 | Batch Acc: 1.0000000
Iter:  1060 | Batch Cost: 0.1431857 | Batch Acc: 1.0000000
Iter:  1070 | Batch Cost: 0.7822195 | Batch Acc: 1.0000000
Iter:  1080 | Batch Cost: 0.5980778 | Batch Acc: 0.9900000
Iter:  1090 | Batch Cost: 0.5162155 | Batch Acc: 1.0000000
Iter:  1100 | Batch Cost: 0.7592356 | Batch Acc: 1.0000000
Iter:  1110 | Batch Cost: 0.8777360 | Batch Acc: 1.0000000
Iter:  1120 | Batch Cost: 1.4437337 | Batch Acc: 0.0000000
Iter:  1130 | Batch Cost: 2.4647380 | Batch Acc: 0.0100000
Iter:  1140 | Batch Cost: 1.8481301 | Batch Acc: 0.0000000
Iter:  1150 | Batch Cost: 1.4500240 | Batch Acc: 0.0000000
Iter:  1160 | Batch Cost: 0.9193876 | Batch Acc: 0.9900000
Iter:  1170 | Batch Cost: 1.4046447 | Batch Acc: 0.0000000
Iter:  1180 | Batch Cost: 0.2838952 | Batch Acc: 1.0000000
Iter:  1190 | Batch Cost: 0.0049604 | Batch Acc: 1.0000000
Iter:  1200 | Batch Cost: 0.9734960 | Batch Acc: 1.0000000
Iter:  1210 | Batch Cost: 0.7182185 | Batch Acc: 1.0000000
Iter:  1220 | Batch Cost: 1.9615566 | Batch Acc: 0.0000000
Iter:  1230 | Batch Cost: 1.2376615 | Batch Acc: 0.0000000
Iter:  1240 | Batch Cost: 0.2126457 | Batch Acc: 1.0000000
Iter:  1250 | Batch Cost: 1.1633444 | Batch Acc: 0.0100000
Iter:  1260 | Batch Cost: 2.0687075 | Batch Acc: 0.0000000
Iter:  1270 | Batch Cost: 2.5923940 | Batch Acc: 0.0000000
Iter:  1280 | Batch Cost: 1.8539201 | Batch Acc: 0.0000000
Iter:  1290 | Batch Cost: 2.4411535 | Batch Acc: 0.0000000
Iter:  1300 | Batch Cost: 1.3089184 | Batch Acc: 0.0000000
Iter:  1310 | Batch Cost: 0.6503354 | Batch Acc: 1.0000000
Iter:  1320 | Batch Cost: 0.5653625 | Batch Acc: 1.0000000
Iter:  1330 | Batch Cost: 1.1600635 | Batch Acc: 0.0000000
Iter:  1340 | Batch Cost: 1.3252396 | Batch Acc: 0.0200000
Iter:  1350 | Batch Cost: 1.9133731 | Batch Acc: 0.0000000
Iter:  1360 | Batch Cost: 0.9319298 | Batch Acc: 1.0000000
Iter:  1370 | Batch Cost: 0.2892545 | Batch Acc: 1.0000000
Iter:  1380 | Batch Cost: 0.1019671 | Batch Acc: 0.9900000
Iter:  1390 | Batch Cost: 1.2800197 | Batch Acc: 0.0000000
Iter:  1400 | Batch Cost: 1.3405792 | Batch Acc: 0.0100000
Iter:  1410 | Batch Cost: 1.5135251 | Batch Acc: 0.0100000
Iter:  1420 | Batch Cost: 1.6384674 | Batch Acc: 0.0000000
Iter:  1430 | Batch Cost: 1.3936341 | Batch Acc: 0.0100000
Iter:  1440 | Batch Cost: 1.2398451 | Batch Acc: 0.0000000
Iter:  1450 | Batch Cost: 0.7728006 | Batch Acc: 1.0000000
Iter:  1460 | Batch Cost: 0.8649265 | Batch Acc: 1.0000000
Iter:  1470 | Batch Cost: 0.4851964 | Batch Acc: 1.0000000
Iter:  1480 | Batch Cost: 1.7159208 | Batch Acc: 0.0000000
Iter:  1490 | Batch Cost: 1.6491531 | Batch Acc: 0.0000000
Iter:  1500 | Batch Cost: 2.4884567 | Batch Acc: 0.0000000
Iter:  1510 | Batch Cost: 1.6603334 | Batch Acc: 0.0000000
Iter:  1520 | Batch Cost: 1.3016495 | Batch Acc: 0.0100000
Iter:  1530 | Batch Cost: 2.0061715 | Batch Acc: 0.0000000
Iter:  1540 | Batch Cost: 2.0330845 | Batch Acc: 0.0000000
Iter:  1550 | Batch Cost: 1.2738352 | Batch Acc: 0.0100000
Iter:  1560 | Batch Cost: 1.2260758 | Batch Acc: 0.0000000
Iter:  1570 | Batch Cost: 0.2156908 | Batch Acc: 1.0000000
Iter:  1580 | Batch Cost: 2.1170221 | Batch Acc: 0.0100000
Iter:  1590 | Batch Cost: 1.3005793 | Batch Acc: 0.0000000
Iter:  1600 | Batch Cost: 1.0026674 | Batch Acc: 0.0000000
Iter:  1610 | Batch Cost: 0.4999971 | Batch Acc: 0.9900000
Iter:  1620 | Batch Cost: 2.0566127 | Batch Acc: 0.0000000
Iter:  1630 | Batch Cost: 1.2756754 | Batch Acc: 0.0000000
Iter:  1640 | Batch Cost: 1.3415935 | Batch Acc: 0.0000000
Iter:  1650 | Batch Cost: 1.0259112 | Batch Acc: 0.0000000
Iter:  1660 | Batch Cost: 0.2824947 | Batch Acc: 1.0000000
Iter:  1670 | Batch Cost: 0.9280992 | Batch Acc: 1.0000000
Iter:  1680 | Batch Cost: 1.6727947 | Batch Acc: 0.0000000
Iter:  1690 | Batch Cost: 0.5522559 | Batch Acc: 1.0000000
Iter:  1700 | Batch Cost: 1.9144158 | Batch Acc: 0.0100000
Iter:  1710 | Batch Cost: 1.8549458 | Batch Acc: 0.0000000
Iter:  1720 | Batch Cost: 1.3098364 | Batch Acc: 0.0100000
Iter:  1730 | Batch Cost: 2.5237001 | Batch Acc: 0.0000000
Iter:  1740 | Batch Cost: 1.7385335 | Batch Acc: 0.0000000
Iter:  1750 | Batch Cost: 0.6090117 | Batch Acc: 1.0000000
Iter:  1760 | Batch Cost: 0.4397323 | Batch Acc: 1.0000000
Iter:  1770 | Batch Cost: 0.8379427 | Batch Acc: 1.0000000
Iter:  1780 | Batch Cost: 1.0666999 | Batch Acc: 0.0000000
Iter:  1790 | Batch Cost: 0.6249769 | Batch Acc: 1.0000000
Iter:  1800 | Batch Cost: 0.1698590 | Batch Acc: 1.0000000
Iter:  1810 | Batch Cost: 0.0156816 | Batch Acc: 1.0000000
Iter:  1820 | Batch Cost: 0.2088836 | Batch Acc: 1.0000000
Iter:  1830 | Batch Cost: 0.3564745 | Batch Acc: 1.0000000
Iter:  1840 | Batch Cost: 0.7760800 | Batch Acc: 1.0000000
Iter:  1850 | Batch Cost: 1.2432691 | Batch Acc: 0.0100000
Iter:  1860 | Batch Cost: 1.1950055 | Batch Acc: 0.0000000
Iter:  1870 | Batch Cost: 1.6575736 | Batch Acc: 0.0100000
Iter:  1880 | Batch Cost: 1.1683451 | Batch Acc: 0.0000000
Iter:  1890 | Batch Cost: 1.2659867 | Batch Acc: 0.0100000
Iter:  1900 | Batch Cost: 1.4488896 | Batch Acc: 0.0000000
Iter:  1910 | Batch Cost: 2.3207587 | Batch Acc: 0.0000000
Iter:  1920 | Batch Cost: 2.1810992 | Batch Acc: 0.0000000
Iter:  1930 | Batch Cost: 1.2429218 | Batch Acc: 0.0000000
Iter:  1940 | Batch Cost: 1.4962817 | Batch Acc: 0.0000000
Iter:  1950 | Batch Cost: 1.3380171 | Batch Acc: 0.0000000
Iter:  1960 | Batch Cost: 0.9972232 | Batch Acc: 0.8900000
Iter:  1970 | Batch Cost: 0.2967325 | Batch Acc: 1.0000000
Iter:  1980 | Batch Cost: 0.5383250 | Batch Acc: 1.0000000
Iter:  1990 | Batch Cost: 1.9706905 | Batch Acc: 0.0100000
Iter:  2000 | Batch Cost: 1.7001469 | Batch Acc: 0.0000000
Iter:  2010 | Batch Cost: 1.4392644 | Batch Acc: 0.0000000
Iter:  2020 | Batch Cost: 0.9906941 | Batch Acc: 0.9900000
Iter:  2030 | Batch Cost: 0.4540226 | Batch Acc: 1.0000000
Iter:  2040 | Batch Cost: 0.5049669 | Batch Acc: 1.0000000
Iter:  2050 | Batch Cost: 0.4575409 | Batch Acc: 0.9900000
Iter:  2060 | Batch Cost: 0.6414399 | Batch Acc: 1.0000000
Iter:  2070 | Batch Cost: 0.6445733 | Batch Acc: 1.0000000
Iter:  2080 | Batch Cost: 0.6074828 | Batch Acc: 1.0000000
Iter:  2090 | Batch Cost: 0.7268187 | Batch Acc: 1.0000000
